"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
1784,'2024-08-28,21:00,22:00,Cash,50,"'2024-08-28 21:11:13"
1782,'2024-08-28,21:00,22:00,Cash,50,"'2024-08-28 21:04:57"
1781,'2024-08-28,21:00,22:00,Cash,50,"'2024-08-28 20:55:07"
1780,'2024-08-28,21:00,22:00,Cash,50,"'2024-08-28 20:47:00"
1777,'2024-08-28,21:00,22:00,Cash,50,"'2024-08-28 20:38:27"
1774,'2024-08-28,21:00,22:00,Cash,100,"'2024-08-28 20:28:20"
1771,'2024-08-28,21:00,22:00,Cash,100,"'2024-08-28 20:02:56"
1770,'2024-08-28,20:00,21:00,Cash,50,"'2024-08-28 20:02:18"
1766,'2024-08-28,20:00,21:00,Cash,50,"'2024-08-28 19:36:16"
1763,'2024-08-28,19:00,20:00,Cash,50,"'2024-08-28 19:30:33"
1758,'2024-08-28,19:00,20:00,Cash,50,"'2024-08-28 18:58:09"
1757,'2024-08-28,19:00,20:00,Cash,40,"'2024-08-28 18:57:32"
1756,'2024-08-28,19:00,20:00,Cash,40,"'2024-08-28 18:56:26"
1754,'2024-08-28,19:00,20:00,Cash,50,"'2024-08-28 18:50:56"
1752,'2024-08-28,19:00,21:00,Cash,200,"'2024-08-28 18:49:54"
1751,'2024-08-28,19:00,20:00,Cash,50,"'2024-08-28 18:44:42"
1750,'2024-08-28,19:00,20:00,Cash,50,"'2024-08-28 18:44:08"
1736,'2024-08-28,18:00,19:00,Cash,50,"'2024-08-28 17:57:47"
1733,'2024-08-28,18:00,19:00,Cash,50,"'2024-08-28 17:50:00"
1730,'2024-08-28,18:00,19:00,Cash,50,"'2024-08-28 17:45:14"
1729,'2024-08-28,18:00,19:00,Cash,40,"'2024-08-28 17:42:28"
1717,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 16:20:11"
1715,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 16:12:17"
,,0:00,0:00,Cash,0,"'2024-08-28 16:07:36"
1702,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 15:51:56"
1701,'2024-08-28,17:00,18:00,Cash,50,"'2024-08-28 15:51:33"
1689,'2024-08-28,17:00,18:00,Cash,50,"'2024-08-28 15:29:26"
1688,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 15:28:54"
1687,'2024-08-28,17:00,19:00,Cash,100,"'2024-08-28 15:28:12"
1686,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 15:27:37"
1683,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 15:22:20"
1682,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 15:17:09"
1678,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 15:12:33"
1677,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 15:11:46"
1670,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 14:55:14"
,,0:00,0:00,Cash,0,"'2024-08-28 14:39:04"
1665,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 14:32:36"
1664,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 14:30:41"
1655,'2024-08-28,14:00,16:00,Cash,100,"'2024-08-28 14:05:44"
1652,'2024-08-28,14:00,15:00,Cash,50,"'2024-08-28 13:57:42"
1649,'2024-08-28,15:00,16:00,Cash,50,"'2024-08-28 13:55:09"
1648,'2024-08-28,14:00,16:00,Cash,100,"'2024-08-28 13:53:06"
1642,'2024-08-28,16:00,17:00,Cash,50,"'2024-08-28 13:33:51"
1640,'2024-08-28,14:00,16:00,Cash,100,"'2024-08-28 13:28:29"
1638,'2024-08-28,13:00,15:00,Cash,100,"'2024-08-28 13:16:19"
1636,'2024-08-28,13:00,15:00,Cash,200,"'2024-08-28 13:15:06"
1634,'2024-08-28,14:00,15:00,Cash,50,"'2024-08-28 13:12:34"
1631,'2024-08-28,13:00,15:00,Cash,200,"'2024-08-28 13:06:37"
1626,'2024-08-28,13:00,14:00,Cash,50,"'2024-08-28 12:57:20"
1624,'2024-08-28,13:00,14:00,Cash,50,"'2024-08-28 12:50:08"
1623,'2024-08-28,13:00,14:00,Cash,50,"'2024-08-28 12:49:26"
1620,'2024-08-28,13:00,15:00,Cash,100,"'2024-08-28 12:46:02"
1619,'2024-08-28,13:00,15:00,Cash,100,"'2024-08-28 12:45:50"
1612,'2024-08-28,12:00,14:00,Cash,100,"'2024-08-28 12:21:59"
1610,'2024-08-28,12:00,14:00,Cash,100,"'2024-08-28 12:17:05"
1607,'2024-08-28,13:00,14:00,Cash,50,"'2024-08-28 12:14:27"
1593,'2024-08-28,12:00,13:00,Cash,100,"'2024-08-28 11:25:22"
1583,'2024-08-28,11:00,12:00,Cash,50,"'2024-08-28 11:01:18"
1574,'2024-08-28,11:00,13:00,Cash,100,"'2024-08-28 10:52:55"
1572,'2024-08-28,11:00,12:00,Cash,50,"'2024-08-28 10:50:32"
1571,'2024-08-28,11:00,13:00,Cash,100,"'2024-08-28 10:48:52"
1570,'2024-08-28,11:00,12:00,Cash,100,"'2024-08-28 10:43:34"
1567,'2024-08-28,11:00,12:00,Cash,50,"'2024-08-28 10:42:03"
1563,'2024-08-28,11:00,13:00,Cash,100,"'2024-08-28 10:39:25"
1562,'2024-08-28,11:00,12:00,Cash,100,"'2024-08-28 10:39:04"
1551,'2024-08-28,10:00,11:00,Cash,150,"'2024-08-28 09:49:43"
1550,'2024-08-28,10:00,11:00,Cash,100,"'2024-08-28 09:46:37"
1548,'2024-08-28,10:00,12:00,Cash,100,"'2024-08-28 09:40:08"
1545,'2024-08-28,10:00,11:00,Cash,50,"'2024-08-28 09:31:00"
1542,'2024-08-28,10:00,11:00,Cash,50,"'2024-08-28 09:27:06"
1540,'2024-08-28,10:00,11:00,Cash,50,"'2024-08-28 09:19:50"
1539,'2024-08-28,9:00,11:00,Cash,100,"'2024-08-28 09:11:48"
1538,'2024-08-28,9:00,11:00,Cash,100,"'2024-08-28 09:03:29"
1537,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:58:11"
1536,'2024-08-28,9:00,11:00,Cash,100,"'2024-08-28 08:57:05"
1535,'2024-08-28,9:00,11:00,Cash,100,"'2024-08-28 08:52:03"
1533,'2024-08-28,9:00,11:00,Cash,100,"'2024-08-28 08:46:26"
1531,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:44:18"
1528,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:37:14"
1527,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:31:38"
1526,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:23:21"
1525,'2024-08-28,9:00,10:00,Cash,100,"'2024-08-28 08:21:00"
1524,'2024-08-28,9:00,10:00,Cash,50,"'2024-08-28 08:16:40"
1523,'2024-08-28,9:00,10:00,Cash,100,"'2024-08-28 08:16:28"
1520,'2024-08-28,8:00,10:00,Cash,100,"'2024-08-28 08:13:55"
1519,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 08:11:09"
1518,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 08:01:15"
1517,'2024-08-28,8:00,10:00,Cash,100,"'2024-08-28 07:57:08"
1516,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 07:55:20"
1514,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 07:52:43"
1513,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 07:51:51"
1512,'2024-08-28,8:00,9:00,Cash,50,"'2024-08-28 07:47:38"
,
"Total Payment:","HKD $ 6420"
Transactions:,92,record(s)
