"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
399,'2024-08-24,8:00,10:00,Cash,200,"'2024-08-18 20:41:57"
398,'2024-08-24,8:00,9:00,Cash,100,"'2024-08-18 20:36:23"
397,'2024-08-24,8:00,9:00,Cash,100,"'2024-08-18 20:32:07"
395,'2024-08-17,15:00,16:00,Cash,100,"'2024-08-18 18:50:04"
394,'2024-08-17,15:00,16:00,Cash,100,"'2024-08-18 18:08:49"
391,'2024-08-17,8:00,9:00,Cash,100,"'2024-08-18 15:30:18"
385,'2024-08-24,11:00,13:00,Cash,200,"'2024-08-18 15:10:47"
379,'2024-08-17,11:00,16:00,Cash,500,"'2024-08-17 22:04:24"
,
"Total Payment:","HKD $ 1400"
Transactions:,8,record(s)
