"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
232,'2024-07-03,14:00,15:00,Cash,100,"'2024-06-30 13:57:22"
231,'2024-07-02,16:00,17:00,Cash,200,"'2024-06-30 13:29:18"
228,'2024-07-01,14:00,15:00,Cash,210,"'2024-06-30 13:24:58"
226,'2024-06-30,15:00,17:00,Cash,200,"'2024-06-30 13:15:22"
222,'2024-06-30,18:00,19:00,Cash,480,"'2024-06-30 11:41:51"
219,'2024-06-29,14:00,15:00,Cash,1087,"'2024-06-30 07:44:31"
,
"Total Payment:","HKD $ 2277"
Transactions:,6,record(s)
