"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
2373,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 15:50:26"
2372,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 15:49:54"
2368,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 15:47:01"
2367,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 15:46:18"
2366,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 15:45:51"
2365,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 15:36:55"
2357,'2024-08-30,15:00,16:00,Cash,50,"'2024-08-30 15:08:56"
2354,'2024-08-30,15:00,17:00,Cash,100,"'2024-08-30 14:59:44"
2351,'2024-08-30,15:00,16:00,Cash,50,"'2024-08-30 14:55:41"
2346,'2024-08-30,16:00,17:00,Cash,100,"'2024-08-30 14:52:18"
2345,'2024-08-30,15:00,16:00,Cash,100,"'2024-08-30 14:52:01"
2342,'2024-08-30,15:00,16:00,Cash,50,"'2024-08-30 14:49:42"
2339,'2024-08-30,15:00,16:00,Cash,50,"'2024-08-30 14:40:27"
2335,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 14:31:37"
2334,'2024-08-30,15:00,16:00,Cash,50,"'2024-08-30 14:31:06"
2327,'2024-08-30,14:00,15:00,Cash,40,"'2024-08-30 14:13:25"
2325,'2024-08-30,14:00,16:00,Cash,100,"'2024-08-30 14:11:12"
2324,'2024-08-30,14:00,16:00,Cash,0,"'2024-08-30 14:10:15"
2317,'2024-08-30,14:00,16:00,Cash,100,"'2024-08-30 13:54:52"
2315,'2024-08-30,14:00,15:00,Cash,100,"'2024-08-30 13:51:38"
2313,'2024-08-30,14:00,15:00,Cash,50,"'2024-08-30 13:49:05"
2312,'2024-08-30,14:00,15:00,Cash,100,"'2024-08-30 13:45:38"
2310,'2024-08-30,14:00,16:00,Cash,100,"'2024-08-30 13:39:50"
2309,'2024-08-30,14:00,15:00,Cash,50,"'2024-08-30 13:39:40"
2303,'2024-08-30,13:00,15:00,Cash,200,"'2024-08-30 13:19:49"
2302,'2024-08-30,13:00,15:00,Cash,100,"'2024-08-30 13:17:48"
2297,'2024-08-30,13:00,14:00,Cash,50,"'2024-08-30 12:57:14"
2290,'2024-08-30,13:00,15:00,Cash,100,"'2024-08-30 12:32:47"
2285,'2024-08-30,13:00,15:00,Cash,100,"'2024-08-30 12:29:39"
2284,'2024-08-30,13:00,15:00,Cash,100,"'2024-08-30 12:27:59"
2281,'2024-08-30,13:00,15:00,Cash,100,"'2024-08-30 12:17:26"
2277,'2024-08-30,12:00,13:00,Cash,50,"'2024-08-30 12:02:47"
2276,'2024-08-30,12:00,14:00,Cash,100,"'2024-08-30 12:02:04"
2273,'2024-08-30,12:00,13:00,Cash,50,"'2024-08-30 11:51:38"
2270,'2024-08-30,12:00,13:00,Cash,100,"'2024-08-30 11:43:53"
2264,'2024-08-30,12:00,13:00,Cash,50,"'2024-08-30 11:28:45"
2256,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:58:40"
2252,'2024-08-30,12:00,13:00,Cash,50,"'2024-08-30 10:46:01"
2250,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:45:16"
2246,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:35:58"
2241,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:27:50"
2238,'2024-08-30,11:00,13:00,Cash,100,"'2024-08-30 10:26:07"
2237,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:23:31"
2236,'2024-08-30,10:00,11:00,Cash,50,"'2024-08-30 10:23:08"
2234,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:20:39"
2231,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 10:15:24"
2228,'2024-08-30,10:00,12:00,Cash,100,"'2024-08-30 10:00:38"
2227,'2024-08-30,10:00,11:00,Cash,50,"'2024-08-30 09:58:53"
2225,'2024-08-30,11:00,12:00,Cash,50,"'2024-08-30 09:47:40"
2224,'2024-08-30,10:00,11:00,Cash,50,"'2024-08-30 09:47:14"
2222,'2024-08-30,10:00,12:00,Cash,100,"'2024-08-30 09:41:10"
2220,'2024-08-30,9:00,10:00,Cash,50,"'2024-08-30 09:38:40"
2219,'2024-08-30,10:00,11:00,Cash,50,"'2024-08-30 09:37:48"
2218,'2024-08-30,10:00,11:00,Cash,40,"'2024-08-30 09:37:30"
2217,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 09:34:38"
2216,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 09:33:45"
2215,'2024-08-30,9:00,11:00,Cash,100,"'2024-08-30 09:32:45"
2214,'2024-08-30,9:00,11:00,Cash,100,"'2024-08-30 09:32:08"
2211,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 09:31:23"
2210,'2024-08-30,8:00,10:00,Cash,100,"'2024-08-30 09:30:11"
2208,'2024-08-30,9:00,10:00,Cash,50,"'2024-08-30 09:29:57"
2207,'2024-08-30,8:00,9:00,Cash,0,"'2024-08-30 09:29:46"
2206,'2024-08-30,9:00,10:00,Cash,100,"'2024-08-30 09:29:26"
2205,'2024-08-30,10:00,11:00,Cash,50,"'2024-08-30 09:27:45"
2199,'2024-08-30,8:00,9:00,Cash,0,"'2024-08-30 09:10:11"
2198,'2024-08-30,9:00,10:00,Cash,0,"'2024-08-30 09:06:19"
2197,'2024-08-30,11:00,12:00,Cash,0,"'2024-08-30 09:02:39"
2195,'2024-08-30,9:00,10:00,Cash,0,"'2024-08-30 08:59:52"
2191,'2024-08-30,9:00,10:00,Cash,50,"'2024-08-30 08:44:04"
2189,'2024-08-30,9:00,10:00,Cash,50,"'2024-08-30 08:40:41"
2184,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:21:41"
2183,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:17:57"
2181,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:17:08"
2180,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:16:17"
2179,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:15:41"
2178,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:15:15"
2177,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:14:38"
2176,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:14:08"
2175,'2024-08-30,8:00,9:00,Cash,50,"'2024-08-30 08:08:03"
2174,'2024-08-30,9:00,11:00,Cash,100,"'2024-08-30 08:07:09"
2173,'2024-08-30,9:00,11:00,Cash,100,"'2024-08-30 08:06:29"
,
"Total Payment:","HKD $ 7820"
Transactions:,126,record(s)
