"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
2483,'2024-08-30,21:00,22:00,Cash,50,"'2024-08-30 20:59:18"
2481,'2024-08-30,21:00,22:00,Cash,50,"'2024-08-30 20:37:03"
2479,'2024-08-30,20:00,21:00,Cash,0,"'2024-08-30 20:17:10"
2478,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 20:15:36"
2476,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 20:10:37"
2475,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 20:09:50"
2474,'2024-08-30,20:00,21:00,Cash,40,"'2024-08-30 20:09:31"
2470,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 19:56:55"
2471,'2024-08-30,20:00,22:00,Cash,100,"'2024-08-30 19:56:36"
2469,'2024-08-30,21:00,22:00,Cash,50,"'2024-08-30 19:54:52"
2467,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 19:51:47"
2466,'2024-08-30,20:00,21:00,Cash,100,"'2024-08-30 19:47:49"
2465,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 19:47:00"
2461,'2024-08-30,19:00,20:00,Cash,40,"'2024-08-30 19:11:47"
2460,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 19:05:48"
2458,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 19:00:13"
2457,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 18:59:46"
2450,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 18:47:54"
2443,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 18:11:23"
2441,'2024-08-30,19:00,20:00,Cash,50,"'2024-08-30 18:05:47"
2438,'2024-08-30,18:00,19:00,Cash,100,"'2024-08-30 17:59:19"
2436,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 17:56:51"
2432,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 17:48:32"
2430,'2024-08-30,19:00,20:00,Cash,100,"'2024-08-30 17:45:11"
2429,'2024-08-30,18:00,19:00,Cash,100,"'2024-08-30 17:44:49"
2421,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 17:19:03"
2419,'2024-08-30,17:00,18:00,Cash,120,"'2024-08-30 17:16:41"
2420,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 17:16:08"
2418,'2024-08-30,17:00,18:00,Cash,150,"'2024-08-30 17:14:34"
2413,'2024-08-30,20:00,21:00,Cash,50,"'2024-08-30 17:03:02"
2412,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 17:02:20"
2411,'2024-08-30,17:00,19:00,Cash,100,"'2024-08-30 17:01:27"
2410,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 17:00:25"
2409,'2024-08-30,17:00,18:00,Cash,40,"'2024-08-30 16:59:27"
2408,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 16:57:43"
2407,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 16:57:15"
2406,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 16:56:51"
2401,'2024-08-30,17:00,18:00,Cash,100,"'2024-08-30 16:45:54"
2400,'2024-08-30,18:00,19:00,Cash,100,"'2024-08-30 16:45:33"
2398,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 16:43:27"
2397,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 16:43:15"
2392,'2024-08-30,18:00,19:00,Cash,50,"'2024-08-30 16:26:35"
2391,'2024-08-30,17:00,18:00,Cash,50,"'2024-08-30 16:26:03"
2381,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 16:05:34"
2379,'2024-08-30,16:00,17:00,Cash,50,"'2024-08-30 15:58:06"
